         866
        823       411       407       399
        824       411       399       352
        825       416       355       412
        826       413       352       360
        827       622       589       616
        828       413       411       352
        833       450       407       411
        834       416       413       360
        835       429       379       357
        836       417       357       350
        841       487       444       450
        856       488       446       445
        857       445       400       444
        858       514       471       501
        859       484       418       455
        860       547       448       492
        882       484       441       418
        883       486       443       485
        884       486       473       417
        885       443       350       396
        886       442       396       397
        887       474       464       412
        888       487       445       444
        889       445       401       400
        890       446       402       401
        891       450       444       407
        892       447       428       377
        893       530       489       529
        894       489       446       488
        897       448       442       409
        898       497       463       464
        901       516       464       474
        907       453       426       408
        908       490       428       447
        921       460       453       408
        922       460       408       428
        923       461       450       411
        924       461       411       413
        927       463       461       413
        928       463       413       416
        929       464       463       416
        930       464       416       412
        932       506       453       460
        939       553       514       537
        946       528       487       505
        947       474       412       429
        948       473       429       417
        949       529       488       528
        950       497       461       463
        961       585       537       544
        964       608       563       607
        965       539       492       484
        967       615       581       569
        969       530       490       489
        970       566       528       532
        971       486       417       443
        972       485       443       442
        973       504       461       497
        974       528       488       487
        975       490       447       489
        976       489       447       446
        977       531       490       530
        978       490       460       428
        979       504       450       461
        980       506       501       453
        981       505       487       450
        986       492       409       441
        993       496       485       448
        994       539       484       526
        995       531       460       490
        996       505       450       504
        997       516       473       498
        998       516       497       464
       1003       501       471       453
       1009       516       474       473
       1010       566       529       528
       1011       547       496       448
       1012       567       529       566
       1013       547       492       539
       1014       492       448       409
       1030       581       544       565
       1031       635       540       596
       1033       546       498       527
       1034       554       516       498
       1046       620       601       584
       1047       608       564       563
       1048       564       525       563
       1050       526       455       525
       1051       589       539       526
       1055       527       498       486
       1056       527       486       485
       1057       529       489       488
       1058       595       539       589
       1059       596       547       595
       1060       564       526       525
       1062       531       506       460
       1063       546       527       540
       1064       656       636       648
       1065       532       528       505
       1066       555       504       497
       1075       537       514       501
       1076       568       531       530
       1079       540       527       496
       1080       589       526       564
       1081       555       545       504
       1082       601       554       546
       1089       544       537       501
       1090       544       501       506
       1091       545       532       505
       1092       545       505       504
       1093       554       498       546
       1094       638       590       594
       1095       584       546       540
       1096       596       540       496
       1102       598       553       537
       1109       610       568       567
       1110       590       566       532
       1111       555       497       516
       1112       555       516       554
       1114       598       537       585
       1122       660       608       644
       1123       817       804       791
       1124       634       595       622
       1131       565       544       506
       1132       565       506       531
       1133       567       530       529
       1134       568       530       567
       1135       634       596       595
       1136       568       565       531
       1137       585       544       581
       1138       581       565       569
       1139       658       615       653
       1140       594       555       554
       1154       689       652       656
       1155       837       831       811
       1159       598       580       553
       1160       723       691       693
       1169       594       554       601
       1170       594       532       545
       1171       631       581       615
       1174       689       656       679
       1179       595       547       539
       1180       596       496       547
       1181       609       566       590
       1182       609       567       566
       1189       601       546       584
       1190       594       545       555
       1191       616       589       564
       1192       635       584       540
       1193       623       569       610
       1194       657       584       635
       1197       722       689       679
       1198       658       631       615
       1203       638       594       601
       1204       594       590       532
       1211       692       622       616
       1214       732       687       712
       1215       660       616       608
       1216       675       643       674
       1218       644       607       643
       1219       610       569       568
       1220       610       567       609
       1221       631       585       581
       1222       683       666       671
       1223       645       609       611
       1224       611       609       590
       1228       632       580       598
       1231       616       564       608
       1232       672       638       620
       1234       644       608       607
       1241       622       595       589
       1242       638       601       620
       1245       623       615       569
       1246       666       623       645
       1247       700       657       667
       1248       671       666       645
       1261       690       651       652
       1263       632       621       580
       1264       636       585       631
       1269       708       680       660
       1270       653       615       623
       1271       635       596       634
       1272       657       634       667
       1273       636       632       598
       1274       636       598       585
       1275       750       735       736
       1277       671       645       611
       1278       638       611       590
       1281       730       703       728
       1283       698       666       683
       1284       732       708       687
       1285       733       703       730
       1287       687       644       675
       1288       711       693       698
       1290       680       616       660
       1291       645       623       610
       1292       645       610       609
       1293       656       632       636
       1294       656       652       632
       1297       648       636       631
       1298       672       671       611
       1303       781       761       757
       1305       652       651       621
       1306       652       621       632
       1307       658       648       631
       1308       735       705       690
       1315       700       672       657
       1316       667       634       622
       1317       723       693       711
       1318       723       715       691
       1321       675       644       643
       1322       687       660       644
       1333       692       616       680
       1334       666       653       623
       1335       657       620       584
       1336       657       635       634
       1343       672       611       638
       1344       672       620       657
       1345       747       710       726
       1346       691       648       658
       1347       746       680       708
       1351       754       730       728
       1352       733       712       703
       1359       679       656       648
       1360       715       679       691
       1361       708       660       687
       1362       726       710       683
       1367       766       732       752
       1368       691       679       648
       1375       827       806       824
       1376       728       703       674
       1379       722       679       715
       1380       737       689       722
       1382       761       737       722
       1383       709       692       680
       1384       709       667       692
       1385       709       700       667
       1386       692       667       622
       1387       693       691       658
       1388       693       658       653
       1397       698       693       653
       1398       698       653       666
       1401       701       672       700
       1402       701       671       672
       1403       711       698       710
       1404       701       683       671
       1407       703       675       674
       1412       705       651       690
       1413       706       690       652
       1414       706       652       689
       1417       726       701       700
       1418       726       700       709
       1419       710       698       683
       1420       758       735       750
       1421       761       722       757
       1422       737       706       689
       1423       746       709       680
       1424       738       711       710
       1425       712       687       675
       1426       712       675       703
       1431       763       739       762
       1432       739       723       711
       1433       780       760       730
       1434       769       733       760
       1445       740       715       723
       1446       774       750       736
       1447       765       747       746
       1448       726       683       701
       1450       757       722       715
       1453       739       711       738
       1454       777       757       740
       1456       757       715       740
       1458       785       752       769
       1459       780       730       754
       1462       754       728       753
       1465       765       738       747
       1466       755       708       732
       1467       785       766       752
       1468       810       799       801
       1471       758       705       735
       1473       736       735       690
       1474       736       690       706
       1475       770       737       761
